id;date;price;bedrooms;bathrooms;sqft_living;floors;view;yr_built;;;
7129300520;20141013T000000;221900;3;1;1180;1;0;1955;;price Min;90000
5631500400;20150225T000000;180000;2;1;770;1;0;1933;;price mak;999000
2487200875;20141209T000000;604000;4;3;1960;1;0;1965;;;
1954400510;20150218T000000;510000;3;2;1680;1;0;1987;;min Bed;1
2414600126;20150415T000000;229500;3;1;1780;1;0;1960;;makx Bed;6
9212900260;20140527T000000;468000;2;1;1160;1;0;1942;;;
1175000570;20150312T000000;530000;5;2;1810;2;0;1900;;min Bath;1
9297300055;20150124T000000;650000;4;3;2950;2;3;1979;;mak Bath;6
1875500060;20140731T000000;395000;3;2;1890;2;0;1994;;;
16000397;20141205T000000;189000;2;1;1200;1;0;1921;;SQFT MÝN;390
7983200060;20150424T000000;230000;3;1;1250;1;0;1969;;SQFT MAK;7120
2264500350;20150418T000000;615000;4;1;1330;2;0;1901;;;
1432600560;20141105T000000;166950;3;1;1190;1;0;1959;;MÝN FLOORS;1
3996900125;20141201T000000;230000;3;1;1060;1;0;1948;;MAKS FLOORS;3
7549802535;20141111T000000;423000;4;2;1970;2;0;1920;;;
3542300060;20150311T000000;210000;3;1;860;1;0;1943;;MÝN VÝEW;0
7551300060;20140716T000000;470000;3;1;1010;1;0;1952;;MAK VÝEW;4
3211100860;20150303T000000;274250;3;1;910;1;0;1962;;;
7465900060;20150205T000000;425000;3;1;1010;1;0;1915;;MÝN B_Y;1900
6300000550;20140717T000000;464000;6;3;2300;2;0;1920;;MAK B_Y;2015
8079040320;20150223T000000;430000;4;3;1850;2;0;1991;;;
1274500060;20140825T000000;204000;3;1;1000;1;0;1968;;;
1049000060;20150105T000000;325000;3;2;1260;1;0;1972;;;
3276920270;20141105T000000;832500;4;4;3430;2;0;1986;;;
2391600320;20150420T000000;480000;3;1;1040;1;0;1941;;;
6300000287;20140609T000000;410000;3;1;1410;1;0;1956;;;
9418400240;20141028T000000;355000;2;1;2020;1;0;1948;;;
1133000671;20140602T000000;315000;3;1;960;1;0;1952;;;
4168000060;20150226T000000;153000;3;1;1200;1;0;1962;;;
6197800045;20140924T000000;290000;3;1;1210;1;0;1954;;;
3432500200;20150409T000000;329999;3;1;1150;1;0;1952;;;
3959400710;20140730T000000;447000;3;1;1370;1;0;1944;;;
826079094;20150324T000000;330000;3;2;1400;1;0;1997;;;
226039214;20140612T000000;465250;5;2;1940;2;0;1957;;;
1623300160;20140506T000000;450000;2;2;1100;2;0;1912;;;
2205500575;20150209T000000;390000;3;1;1200;1;0;1955;;;
3814400125;20141016T000000;493000;4;2;1910;1;0;1910;;;
7230200340;20150225T000000;305000;3;1;1250;1;0;1967;;;
7625702350;20140523T000000;515000;2;1;1680;1;0;1941;;;
2755200090;20140714T000000;576000;3;1;1140;1;0;1909;;;
7199360090;20150320T000000;478000;3;1;1440;1;0;1980;;;
8651443480;20150128T000000;282000;3;1;1670;1;0;1977;;;
9126100850;20141120T000000;534000;5;2;2280;2;0;1992;;;
5511600245;20150324T000000;350000;2;1;1350;1;0;1927;;;
9828702812;20140923T000000;582000;4;3;1670;3;0;2000;;;
3222079162;20140813T000000;322000;3;2;1760;1;0;1988;;;
5101404608;20141201T000000;443000;2;1;1130;1;0;1939;;;
7920100025;20150427T000000;450000;2;1;740;1;0;1947;;;
1820069019;20140529T000000;302000;2;1;900;1;2;1925;;;
2916610150;20150120T000000;274950;3;2;1410;1;0;1983;;;
6021501320;20140930T000000;450000;2;1;1030;1;0;1942;;;
2372800145;20141023T000000;219950;2;1;940;1;0;1955;;;
1180003175;20150410T000000;229950;2;1;850;1;0;1924;;;
3856904825;20141104T000000;380000;2;1;980;1;0;1923;;;
254000175;20140819T000000;325000;2;1;1050;1;0;1969;;;
3330500085;20140918T000000;366000;2;1;1210;1;0;1926;;;
1231001225;20140916T000000;385000;2;1;1010;1;0;1911;;;
984000650;20140908T000000;300000;4;2;2050;1;0;1967;;;
8850000180;20150420T000000;295000;4;1;980;2;0;1914;;;
6149700191;20140819T000000;307300;2;2;1520;3;0;1999;;;
1555200180;20140827T000000;225000;4;1;1410;2;0;1963;;;
5700000515;20141120T000000;690000;4;2;2230;2;0;1922;;;
7174800760;20140725T000000;667000;5;2;1900;1;0;1930;;;
272000620;20141202T000000;290000;2;1;900;2;0;1998;;;
7779200355;20150422T000000;950000;3;3;3610;2;2;1954;;;
6450304130;20140505T000000;329950;2;1;1140;2;0;1949;;;
1843130530;20141125T000000;279000;3;2;1640;1;0;2003;;;
7010700905;20140611T000000;476000;3;1;1140;2;0;1908;;;
8651442520;20141015T000000;228950;4;3;2160;1;0;1978;;;
1450000210;20150128T000000;179500;3;1;900;1;0;1959;;;
9828201020;20141031T000000;427500;3;1;1480;2;0;1925;;;
2461900175;20140522T000000;400000;3;1;1040;1;0;1942;;;
3031200230;20150226T000000;350000;3;1;2480;1;0;1969;;;
7262200150;20150121T000000;315000;2;1;970;1;0;1939;;;
7523700210;20150415T000000;205000;3;1;970;1;0;1959;;;
6204050160;20140608T000000;540000;5;3;2870;2;0;2007;;;
255550070;20140626T000000;330675;4;3;1930;1;0;2006;;;
7165700200;20140605T000000;275000;3;3;1390;2;0;2006;;;
4046500160;20140729T000000;441000;3;2;1720;1;0;2011;;;
3022900070;20140929T000000;348000;3;2;2360;1;0;2011;;;
7853280570;20140604T000000;765000;4;3;4410;2;0;2006;;;
9512200140;20140725T000000;479950;3;2;2260;1;0;2012;;;
2822059360;20140724T000000;253101;3;2;1239;1;0;2009;;;
630000227;20140626T000000;240000;4;1;1200;2;0;1933;;;
6300000226;20150504T000000;380000;4;1;1200;2;0;1933;;;
7600136;20140718T000000;411000;2;2;1130;2;0;2007;;;
3277801580;20141110T000000;469950;3;2;1820;3;0;2014;;;
9828702339;20150420T000000;699999;2;2;1460;2;0;2014;;;
2524059267;20140917T000000;799900;4;4;3650;2;3;2013;;;
2114700374;20150413T000000;357500;3;3;1730;2;0;2008;;;
993000327;20140506T000000;369950;3;2;1270;3;0;2006;;;
